Company Name,id_empresa
,1
CI&T,2
More Talent Tech,3
Drogaria Araujo,4
fueltech,5
Verity,6
vortx,7
Jeitto,8
Itaú,9
BRQ Digital Solutions,10
GRUPO LPJ,11
Stefanini,12
agibank,13
villelabrasilbank,14
Paytrack,15
Hypnobox,16
eduK,17
aegro,18
UOL EdTech,19
Tecsa,20
Cayena,21
banqi,22
8D Hubify,23
LUZ SOLUÇÕES FINANCEIRAS,24
matrixcargo,25
ATHEVA,26
dataweb,27
blue,28
DATWEB,29
weme,30
gx2,31
stocci,32
Solfacil,33
Grupo Comolatti,34
sanar,35
Provider,36
mboxhuman,37
n5x,38
matilhadigital,39
Edromania,40
Klavi,41
Workco,42
Azion,43
IBM,44
Greenlight,45
Flash,46
CredAluga,47
Twygo,48
Blip,49
LEVTY,50
pipefy,51
Rocket Lawyer,52
Tenchi Security,53
iFood,54
Wellhub,55
Koopere,56
Persona,57
capco,58
Teachable,59
Onfly,60
SYN SOLUCAO EM SAUDE,61
Digibee,62
WeGenCoop,63
Smart Marketer,64
luizalabs,65
Agência Forttiori,66
INDI Staffing Services,67
Meta,68
Autoglass,69
Association Hero,70
Fullstack Labs,71
EX Squared LATAM,72
Flex IA,73
Yalo,74
TRACTIAN,75
abc fitness,76
Serasa Experian,77
TAG Investimentos,78
Arco Educação,79
RecargaPay,80
paired,81
Vetta,82
Pulsus,83
Pagbank,84
treinus,85
Grupo Boticario,86
MJV Technology & Innovation,87
Central IT,88
localiza,89
sydle,90
Vinte Soluções em Gestão,91
acerto,92
Gooxxy,93
SINAI Technologies,94
Olist,95
Asaas,96
Articul8 AI,97
Peru Apps,98
Sandbox Group,99
ília,100
Formula.Monks,101
Avra,102
mazzatech,103
Méliuz,104
Questor Sistemas,105
Effecti | Tecnologia para Licitantes,106
DB,107
VIACERTA FINANCIADORA S/A,108
Performa_IT,109
Contabilizei,110
Workling,111
ClearSale,112
AE Studio,113
Nuvemshop,114
MoutS TI,115
NuVidio,116
Westpoint Software Solutions,117
NOUS LATAM,118
Suno,119
Simera,120
geekhunter,121
Remote People,122
BairesDev,123
Agile inc,124
Xometry,125
Coinbase,126
GRUPO SOMA,127
Questiona,128
Montreal Oficial,129
Lumis Experience,130
Yduqs,131
SuperSummary,132
Picpay,133
Rodobens,134
Rethink Tecnologia,135
Getronics,136
Gupy,137
La Moda,138
Agência Digi,139
Softplan,140
pagseguro,141
Banco BS2,142
Werecruiter,143
ei beleza?,144
EBANX,145
Econodata,146
Sicredi,147
Oppizi,148
Coaktion,149
Will Bank,150
MaisTODOS,151
KingHost,152
cora,153
Tata Consultancy Services,154
banco pan,155
SysMap Solutions,156
cesar,157
Estratégia Educacional,158
AltScore,159
Franki,160
cuponomia,161
FIDELA,162
G4F,163
Stellantis,164
Amcom,165
quikdev,166
awesomic,167
asksuite,168
Mindbody,169
humtech,170
ae.studio,171
Outliant,172
Morada.ai,173
Consultoria em TI,174
Qintess,175
Platform Builders,176
sora schools,177
Loadsmart,178
Gigster Network,179
Flatirons,180
Cresol,181
Unifique,182
Radix,183
qibit,184
Luxury Presence,185
PTW,186
ecoPortal,187
Bonsai,188
Landed Careers,189
Next Engineering,190
Bitso,191
Kantar IBOPE Media,192
Instrumental Group,193
Syngenta,194
bradesco,195
google,196
CloudWalk,197
philips,198
amazon,199
Banco Inter,200
Group Software,201
Checklist,202
Neogrid,203
E-INSCRICAO,204
Sword Health,205
conta azul,206
meutudo,207
SEA TECNOLOGIA,208
Reclame AQUI,209
clickbus,210
Fortive/Accruent,211
Algar Telecom,212
Convenia,213
Grupo SC,214
Datum TI,215
afya,216
math,217
RD Raia Drogasil,218
RD Station,219
icon it,220
BRASIL CARD INSTITUICAO DE PAGAMENTOS LTDA,221
Cactus Corporation,222
Alto,223
igti,224
Userlytics,225
Zallpy Digital,226
LCbank,227
L.A. Head Hunter,228
Trakto,229
Dti,230
Grupo RBS,231
softdesign,232
Grupo Salta,233
Gringo,234
Fundep,235
Paschoalotto,236
VEGA,237
IMxr,238
CPCON,239
Quality Digital,240
Escale,241
Upwork,242
Ranger Technical Resources,243
Zuri,244
MindMiners,245
ARTIA,246
ATS INFORMÁTICA,247
Tecnologia Única Serviços de Informática Ltda,248
Skeelo,249
Tecer,250
valtech,251
1840 & Company,252
Trustly,253
EstrelaBet,254
QuintoAndar,255
Accelera Technologies,256
VIK,257
Beyond HR,258
mindbodyonline,259
DBC Company,260
skillshare,261
fanatee,262
Cyncly,263
FI Group,264
Ambush,265
VOA Hotéis,266
Mercado Bitcoin,267
Efi,268
Farmácias App,269
Mutant,270
Atlas Technologies,271
A3Data,272
Getrak,273
Compas.uol,274
Objective,275
Smarthis,276
Aliare,277
Docket Brasil,278
Run2biz,279
Nerdweb,280
Rise Retail,281
ZapSign,282
AP Digital Services,283
Clutch,284
UpKeep,285
zup,286
PTC Group,287
HugeInc,288
SPEED IO,289
Mesa Mobile Thinking,290
personatalent,291
Talent Disruptors,292
Deel,293
Not identified,294
Randstad Holding,295
GFT,296
Civitas Learning,297
Outcode,298
db1 group,299
Talentx,300
porto,301
iteris,302
Minsait,303
Nava,304
XP Inc.,305
number8,306
idwall,307
TOTVS,308
Gauge,309
Clicksign,310
LawnStarter,311
Embed Workflow,312
Allugator,313
WANSOFT BRAZIL,314
STACK TECNOLOGIAS,315
Framework Digital,316
INCUCA TECH,317
Ivo Solutions,318
CONEXA,319
Kinvo,320
PRIMUM,321
GUIDANCE,322
Gobetti RH,323
OmniChat,324
Lamoda,325
vwbrasil,326
locaweb,327
Meiuca,328
bexs,329
mosaico,330
Grupo SBF,331
Ilegra,332
Leve Saúde,333
RTVE,334
Vitat,335
conexaotalento,336
UCB,337
Brivia,338
Unimed,339
Rede D'OR,340
Compass Digital,341
TRM Labs,342
DOMVS iT!,343
Prometeo Talent,344
CharterUP,345
talentkompass,346
MUNAI,347
Data management & analytics,348
gamefic,349
Grão Direto,350
Paraná Banco,351
CSG,352
venture people,353
Fortis Games,354
Lex Design,355
saipos,356
Digital Disruptions,357
Morean,358
Traive Finance,359
NTConsult,360
Wonolo,361
Axonify,362
WithClutch,363
Matera,364
MK Solutions,365
Luby,366
Wiser Educação,367
Western Union,368
BRP,369
Lenovo,370
Brex,371
Pitang,372
NDD Tech Brasil,373
SIS Innov & Tech,374
Casar.com,375
Power Digital Marketing,376
Multiplica Talent,377
Market Blitz,378
Retargetly,379
GlobalLogic Latinoamérica,380
Baufest,381
Helpjuice,382
Seedtag,383
Whirlpool Corporation,384
Livance,385
Vericode,386
Agis,387
Trinus,388
brasilseg,389
VLGI,390
IDEZ,391
Funcional Health Tech,392
OLX Brasil,393
Grupo Bamaq,394
Global Hitss,395
Globo,396
Redbelt,397
bbm logistica,398
Superlógica,399
Dádiva,400
Nelogica,401
uoledtech,402
MAG,403
kumon,404
BMG Seguros,405
Confidencial,406
Beep,407
Clinicorp,408
CNP Seguradora,409
Cogna,410
Grupo Martins,411
Sankhya,412
Vivo,413
AutoForce,414
Petlover,415
Seazone,416
Spread,417
Conquer,418
LogComex,419
Seedz,420
Assessoria VIP,421
Atomos,422
1Doc,423
The Bridge Social,424
GAUDIUM DESENVOLVIMENTO DE SOFTWARE LTDA,425
ANFITRIOES DE ALUGUEL LTDA,426
GÊNICA INOVAÇÃO BIOTECNOLÓGICA,427
Bittar Educação,428
BRZ Insurance,429
RETORNAR TECNOLOGIA LTDA,430
STAGE CONSULTING,431
DATASIDE,432
TEGRUS,433
PLACE TI,434
ORYS SOLUCOES E CONSULTORIA LTDA,435
Grupo Assessor,436
ITA EMPRESA DE TRANSPORTES LTDA,437
Tunts.Rocks,438
Ucondo,439
PREVISION,440
Americas Health,441
Mottu,442
CSU Digital,443
MRM Brasil,444
Claro,445
Sicoob UniCentro Br,446
Vnda,447
Club Candeias,448
Ype,449
Leads2b,450
Agrotools,451
paciente360,452
Zanthus,453
incentivar,454
lojastorra,455
Ignição Digital,456
C&A,457
4intelligence,458
Grupo GCB,459
RENTBRELLA,460
upLexis,461
ACP Group,462
Eletromidia,463
Ana Couto,464
Betha Sistemas,465
Instituto Atlantico,466
RB Beneficios,467
ICLINIC,468
Inatel,469
PagoNxt,470
omnisaude,471
UNIASSELVI,472
Dentsu,473
VOLL,474
Score Group,475
LIV – Laboratório Inteligência de Vida,476
nScreen,477
Cielo,478
MyPharma,479
Poli,480
Semantix,481
Niteo,482
DROPULL,483
RELEVO LAB.,484
Codex,485
abastece-aí,486
Performa IT,487
Croct,488
Clevertech,489
Passaport,490
Symphony,491
Braintrust,492
Capgemini,493
Vindi,494
Tempest,495
SPC Brasil,496
Softfocus,497
SMG,498
The Ridge,499
Prudential do Brasil,500
Motorola,501
Mollica IT,502
Mind the Graph,503
Matrix,504
Sabin,505
Galoá Science,506
Daki,507
Circular Brain,508
Cia Hering,509
Alexa Translations ·,510
Agência CUPOLA,511
ArcTouch,512
b4a,513
InventaShop,514
squid,515
Fator WoW,516
Hindiana,517
Grupo Profarma,518
McKinsey & Company,519
Pacto Energia,520
Turner & Townsend,521
XMobots,522
Sem Parar,523
Impulseup,524
OPAH IT,525
Neon,526
Amicci,527
CS Academy,528
viptelecom,529
pecege,530
casaeconstrucao,531
processmind,532
truechange,533
Central Ailos,534
Thomson Reuters,535
G4 Educação,536
Nomad,537
invillia,538
NVX,539
IndeCX,540
Americanas SA,541
C&C Casa e Construção,542
Ingresse,543
Solinftec,544
Stormx,545
Empty,546
LAMPP-IT,547
mundiale,548
Telefônica Brasil),549
Embraer,550
Conta simples,551
iGaming and Crypto Specialists,552
MAPFRE,553
MK Bank,554
Kuaishou,555
DocPlanner,556
Doctoralia,557
Suzano,558
PSM Company,559
Jera,560
